bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
420228,164-30 HILLSIDE AVE JAMAICA NY,11432,2020,0,GP110019OM,OM,OPEN,4/13/18,N/A,NONE,MSW2,FACADE/POINTING,1026134,0,6/15/15
420018,185-01 HILLSIDE AVE JAMAICA NY,11432,2019,0,DO110031X,X,CLOSED,3/27/15,4/14/15,CW,RX-00004-15,N/A,N/A,N/A,N/A
420018,185-01 HILLSIDE AVE JAMAICA NY,11432,2019,0,EU110049X,X,CLOSED,9/15/16,10/5/16,CW,RX-00005-16,N/A,N/A,N/A,N/A
411318,216-05 HILLSIDE AVE JAMAICA NY,11427,2020,0,ER110001OM,OM,CLOSED,6/3/16,8/16/16,GR,ROM-00084-16,ROOFING/GUTTERS,14630,14630,5/18/15
910598,216-11 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,FS110008OM,OM,CLOSED,7/7/17,11/15/17,GR,ROM-00092-17,NEW ROOF,9600,9600,8/5/16
807474,218-05 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,CR110029OM,OM,CLOSED,6/24/14,8/19/15,GR,ROM-00044-15,NEW ROOF,75250,75250,5/11/12
807474,218-05 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,GM110035OM,OM,CLOSED,1/26/18,6/14/18,GR,ROM-00059-18,HALLWAY WINDOWS,11800,11800,4/18/17
807474,218-05 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,GT110022OM,OM,CLOSED,8/13/18,12/14/18,GR,ROM-00105-18,ENTRANCE/LOBBY DOORS,14936.5,14936.5,4/19/17
807471,218-33 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,CR110026OM,OM,CLOSED,6/24/14,5/29/15,GR,RTOM-0001-15,NEW ROOF,75250,75250,5/11/12
807471,218-33 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,GM110073OM,OM,CLOSED,1/31/18,5/7/18,GR,ROM-00111-18,HALLWAY WINDOWS,11800,11800,4/18/17
807471,218-33 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,GT110023OM,OM,CLOSED,8/13/18,11/10/20,GR,M66,ENTRANCE/LOBBY DOORS,14936.5,14936.5,4/19/17
807471,218-33 HILLSIDE AVE QUEENS VILLAGE NY,11427,2020,0,IN110006OM,OM,OPEN,2/7/20,N/A,GR,MJM1,BOILERS/HW HEATERS,256000,0,7/10/17
405992,1709 HIMROD ST RIDGEWOOD NY,11385,2020,0,EV110013OM,OM,CLOSED,10/4/16,1/5/17,GP,ROM-00006-17,BOILER/BURNER,14500,13946.5,10/9/15
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,AO110005OM,OM,CLOSED,3/2/12,7/16/12,GP,ROM-00090-12,NEW ROOF,6850,6850,6/2/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,AO110005OM,OM,CLOSED,3/2/12,7/16/12,GP,ROM-00090-12,FRONT STOOP & PATIO,6000,0,9/14/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,AO110005OM,OM,CLOSED,3/2/12,7/16/12,GP,ROM-00090-12,RAILING STOOP/PATIO,2000,0,9/20/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,AO110005OM,OM,CLOSED,3/2/12,7/16/12,GP,ROM-00090-12,CAP FRONT WINDOWS,1500,0,8/30/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,DS110019OM,OM,CLOSED,7/14/15,4/27/16,GP,ROM-00036-16,BOILER,16720.26,15395.26,7/1/14
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,DT110049OM,OM,CLOSED,8/21/15,2/17/16,GP,ROM-00017-16,FRONT STOOP/STEP,6000,0,9/15/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,DT110049OM,OM,CLOSED,8/21/15,2/17/16,GP,ROM-00017-16,CONCRETE BACKYARD,5200,5200,9/15/11
406740,1710 HIMROD ST FLUSHING NY,11385,2020,0,DT110049OM,OM,CLOSED,8/21/15,2/17/16,GP,ROM-00017-16,IRON RAILING,2000,0,9/30/11
405104,1721 HIMROD ST RIDGEWOOD NY,11385,2020,0,BP110080OM,OM,CLOSED,4/17/13,9/19/13,GP,ROM-00062-13,BOILER/BURNER,10269,9972.2,10/26/12
506684,140-15 HOLLY AVE FLUSHING NY,11355,2020,0,DO110034X,X,CLOSED,3/27/15,4/14/15,CW,RX-00004-15,N/A,N/A,N/A,N/A
415105,142-10 HOOVER AVE JAMAICA NY,11435,2020,0,BT110069OM,OM,CLOSED,8/12/13,8/8/14,GP,ROM-00045-14,BURNER/OIL TANKS-ETC,101900,70923.76,3/28/11
415105,142-10 HOOVER AVE JAMAICA NY,11435,2020,0,CR110024OM,OM,CLOSED,6/6/14,1/29/15,GR,ROM-00003-15,NEW ROOF,153409,153409,9/18/13
415105,142-10 HOOVER AVE JAMAICA NY,11435,2020,0,GN110008OM,OM,CLOSED,2/5/18,4/19/18,GP,ROM-00026-18,ELEVATOR UPGRADE,331800,251772.1,8/29/16
415105,142-10 HOOVER AVE JAMAICA NY,11435,2020,0,GT110020OM,OM,CLOSED,8/14/18,10/31/18,GP,ROM-00090-18,BOILER/TANKS,296450,295129.65,3/28/17
501516,201-23 HORACE HARDIN FLUSHING NY,11364,2020,0,GV110058OM,OM,CLOSED,10/15/18,3/22/19,GP,ROM-00018-19,BOILER/BURNER,109900,96589,1/6/16
501516,201-23 HORACE HARDIN FLUSHING NY,11364,2020,0,GV110059OM,OM,OPEN,10/15/18,N/A,GP,MSW2,BOILER/BURNER,109900,0,1/6/16
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,YF110048OM,OM,CLOSED,6/24/10,11/3/10,GP,RSJR-00013-18,(3) ELEV'S UPGRADING,832012,705000,11/25/08
